16-Regular_HB0048HVOTE.csv
NAME,YES,NO,EXC,ABS
Adkins,X,,,
Alcon,X,,,
Armstrong,X,,,
Baldonado,X,,,
Bandy,X,,,
Brown,X,,,
Chasey,,,X,
Clahchischilliage,X,,,
Cook,,,,X
Crowder,X,,,
Dines,X,,,
Dodge,X,,,
Egolf,X,,,
Espinoza,X,,,
Ezzell,X,,,
Fajardo,X,,,
"Gallegos, David",X,,,
"Gallegos, Doreen",X,,,
Garcia,X,,,
Garcia Richard,X,,,
Gentry,X,,,
Gomez,X,,,
Gonzales,X,,,
Hall,X,,,
Hamilton,,,X,
Harper,X,,,
Herrell,X,,,
Irwin,X,,,
James,X,,,
Johnson,X,,,
Larrañaga,X,,,
Lechuga-Tena,X,,,
Lewis,X,,,
Little,X,,,
Louis,X,,,
Lundstrom,X,,,
Madalena,X,,,
Maestas,X,,,
Maestas Barnes,,,X,
"Martínez, Javier",X,,,
"Martinez, Ken",,,,X
McCamley,X,,,
McMillan,X,,,
McQueen,X,,,
Montoya,X,,,
Nuñez,X,,,
Pacheco,X,,,
Powdrell-Culbert,X,,,
Rehm,X,,,
Roch,X,,,
Rodella,X,,,
Romero,X,,,
Roybal Caballero,X,,,
Ruiloba,X,,,
"Salazar, Nick",X,,,
"Salazar, Tomás",X,,,
Scott,X,,,
Smith,X,,,
Stapleton,X,,,
Steinborn,X,,,
Strickler,X,,,
Townsend,X,,,
Tripp,X,,,
"Trujillo, Carl",X,,,
"Trujillo, Christine",X,,,
"Trujillo, Jim",X,,,
Varela,X,,,
Wooley,X,,,
Youngblood,X,,,
Zimmerman,X,,,

16-Regular_HB0048SVOTE.csv
NAME,YES,NO,ABS,EXC,REC
BARELA,,,,X,
WILSON BEFFORT,X,,,,
BRANDT,X,,,,
BURT,X,,,,
CAMPOS,X,,,,
CANDELARIA,X,,,,
CERVANTES,X,,,,
CISNEROS,X,,,,
COTTER,X,,,,
GRIGGS,X,,,,
INGLE,X,,,,
IVEY-SOTO,X,,,,
KERNAN,X,,,,
LEAVELL,,,,X,
LOPEZ,X,,,,
MARTINEZ,X,,,,
McSORLEY,,,,X,
MOORES,X,,,,
MORALES,,,,X,
MUÑOZ,X,,,,
NEVILLE,X,,,,
O'NEILL,X,,,,
ORTIZ y PINO,X,,,,
PADILLA,X,,,,
PAPEN,X,,,,
PAYNE,X,,,,
PINTO,X,,,,
PIRTLE,,,,X,
RODRIGUEZ,X,,,,
RUE,,,,X,
RYAN,X,,,,
"SANCHEZ, C",X,,,,
"SANCHEZ, M",,,,X,
SAPIEN,X,,,,
SHARER,X,,,,
SHENDO,X,,,,
SMITH,X,,,,
SOULES,X,,,,
STEWART,X,,,,
TORRACO,X,,,,
WIRTH,X,,,,
WOODS,X,,,,
TOTAL =>,35,0,0,7,0

16-Regular_SM058SVOTE.csv
NAME,YES,NO,ABS,EXC,REC
BARELA,X,,,,
WILSON BEFFORT,X,,,,
BRANDT,,X,,,
BURT,X,,,,
CAMPOS,X,,,,
CANDELARIA,X,,,,
CERVANTES,X,,,,
CISNEROS,X,,,,
COTTER,,X,,,
GRIGGS,X,,,,
INGLE,X,,,,
IVEY-SOTO,X,,,,
KERNAN,X,,,,
LEAVELL,,,,X,
LOPEZ,,,,X,
MARTINEZ,X,,,,
McSORLEY,X,,,,
MOORES,X,,,,
MORALES,X,,,,
MUÑOZ,X,,,,
NEVILLE,X,,,,
O'NEILL,X,,,,
ORTIZ y PINO,X,,,,
PADILLA,X,,,,
PAPEN,X,,,,
PAYNE,X,,,,
PINTO,X,,,,
PIRTLE,X,,,,
RODRIGUEZ,X,,,,
RUE,X,,,,
RYAN,X,,,,
"SANCHEZ, C",X,,,,
"SANCHEZ, M",X,,,,
SAPIEN,X,,,,
SHARER,,X,,,
SHENDO,X,,,,
SMITH,X,,,,
SOULES,X,,,,
STEWART,X,,,,
TORRACO,X,,,,
WIRTH,X,,,,
WOODS,X,,,,
TOTAL =>,37,3,0,2,0

17-Regular_HB0138HVOTE.csv
NAME,YES,NO,EXC,ABS
Adkins,,X,,
Alcon,X,,,
"Armstrong, D.",X,,,
"Armstrong, Gail",,X,,
Baldonado,,X,,
Bandy,,X,,
Brown,,X,,
Chasey,X,,,
Clahchischilliage,,X,,
Cook,,,,X
Crowder,,X,,
Dines,X,,,
Dodge,,,X,
Dow,X,,,
Egolf,X,,,
Ely,X,,,
Ezzell,,X,,
Fajardo,,X,,
Ferrary,X,,,
"Gallegos, David",,X,,
"Gallegos, Doreen",X,,,
Garcia Richard,X,,,
"Garcia, Harry",X,,,
"García, M.P.",X,,,
Gentry,,X,,
Gomez,X,,,
Gonzales,X,,,
Hall,,X,,
Harper,X,,,
Herrell,,X,,
Johnson,X,,,
Larrañaga,,X,,
Lente,X,,,
Lewis,,X,,
Little,,X,,
Louis,X,,,
Lundstrom,X,,,
Maestas,X,,,
Maestas Barnes,X,,,
"Martínez, Javier",X,,,
"Martinez, Rudy",X,,,
McCamley,X,,,
McQueen,X,,,
Montoya,,X,,
Nibert,,X,,
Powdrell-Culbert,,X,,
Rehm,,X,,
Roch,,X,,
Rodella,X,,,
Romero,X,,,
Roybal Caballero,X,,,
Rubio,X,,,
Ruiloba,X,,,
"Salazar, Nick",,,X,
"Salazar, Tomás",X,,,
Sariñana,X,,,
Scott,,X,,
Small,X,,,
Smith,,,,X
Stapleton,X,,,
Strickler,,X,,
Sweetser,X,,,
Thomson,X,,,
Townsend,,X,,
"Trujillo, Carl",X,,,
"Trujillo, Christine",X,,,
"Trujillo, Jim",,,X,
"Trujillo, Linda",X,,,
Wooley,,X,,
Youngblood,,X,,

17-Regular_HB0138SVOTE.csv
NAME,YES,NO,ABS,EXC,REC
BACA,,X,,,
BRANDT,,X,,,
BURT,,X,,,
CAMPOS,X,,,,
CANDELARIA,X,,,,
CERVANTES,X,,,,
CISNEROS,X,,,,
GOULD,,X,,,
GRIGGS,,X,,,
INGLE,,X,,,
IVEY-SOTO,X,,,,
KERNAN,,X,,,
LEAVELL,,X,,,
LOPEZ,,,,X,
MARTINEZ,X,,,,
McSORLEY,X,,,,
MOORES,,X,,,
MORALES,X,,,,
MUÑOZ,,,,X,
NEVILLE,,X,,,
O'NEILL,X,,,,
ORTIZ y PINO,X,,,,
PADILLA,X,,,,
